"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",true,"2025-05-02 14:00:00","2025-05-02T13:00:00.000Z",86,6.6,6.6,495,404,404,26.8,26.6,26.9,37,53,85,89,1,2.4,8.1
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",true,"2025-05-02 14:00:00","2025-05-02T13:00:00.000Z",87,0.9,0.9,320,413,413,26.7,26.4,26.5,37,53,75,78,1,0.2,1.8
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",true,"2025-05-02 13:00:00","2025-05-02T12:00:00.000Z",87,18.2,18.2,887,400,400,24.5,23.9,23.9,41,59,78,81,1,9,22.3
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",true,"2025-05-02 13:00:00","2025-05-02T12:00:00.000Z",87,7.7,7.7,526,416,416,26.6,26.3,26.4,37,54,86,89,1,3,10.1
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",true,"2025-05-02 12:00:00","2025-05-02T11:00:00.000Z",86,34.8,34.8,1570,401,401,23.8,23,23,42,61,102,107,2,19.7,41.4
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",true,"2025-05-02 12:00:00","2025-05-02T11:00:00.000Z",87,14.4,14.4,686,422,422,26.4,26.1,26.2,37,54,161,154,1,5.3,17.9
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",true,"2025-05-02 11:00:00","2025-05-02T10:00:00.000Z",87,21,21,965,399,399,22.7,21.7,21.7,44,63,56,57,3,10.6,25.2
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",true,"2025-05-02 11:00:00","2025-05-02T10:00:00.000Z",87,9.2,9.2,572,413,413,25.5,25,25,38,55,127,130,1,3.4,12.4
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",true,"2025-05-02 10:00:00","2025-05-02T09:00:00.000Z",86,17,17,740,397,397,21.1,19.9,19.8,47,66,31,29,3,6.8,21.8
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",true,"2025-05-02 10:00:00","2025-05-02T09:00:00.000Z",86,7.7,7.7,504,411,411,24.9,24.3,24.3,38,55,57,59,1,2.7,10.7
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",true,"2025-05-02 09:00:00","2025-05-02T08:00:00.000Z",87,3.4,3.4,423,398,398,20.8,19.4,19.3,47,66,34,32,3,1,4.4
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",true,"2025-05-02 09:00:00","2025-05-02T08:00:00.000Z",87,0.9,0.9,325,417,417,26.4,26.1,26.2,35,52,102,106,1,0.2,1.8
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",true,"2025-05-02 08:00:00","2025-05-02T07:00:00.000Z",86,13.1,13.1,960,401,401,20.3,18.8,18.8,46,66,101,105,2,9.6,14.8
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",true,"2025-05-02 08:00:00","2025-05-02T07:00:00.000Z",87,0.8,0.8,319,411,411,22.8,21.8,21.8,41,59,126,131,2,0.2,1.4
82925,"Industrielle Saknia 1",,"Outdoor","airgradient:84fce606edf0",false,"2025-05-02 07:00:00","2025-05-02T06:00:00.000Z",87,4.2,4.2,443,400,400,19.3,17.7,17.7,48,68,79,84,2,1.5,5.1
84563,"Poste dar chabab",,"Outdoor","airgradient:84fce606f704",false,"2025-05-02 07:00:00","2025-05-02T06:00:00.000Z",87,0.6,0.6,300,409,409,19.6,18,18,48,68,65,68,3,0.1,1.1
