name,latitude,longitude,datetime,windspeed,winddir
"kenitra, morocco",34.26,-6.585,2024-09-01T00:00:00,5.4,290
"kenitra, morocco",34.26,-6.585,2024-09-01T01:00:00,9.2,271
"kenitra, morocco",34.26,-6.585,2024-09-01T02:00:00,5.4,290
"kenitra, morocco",34.26,-6.585,2024-09-01T03:00:00,5.4,280
"kenitra, morocco",34.26,-6.585,2024-09-01T04:00:00,6.6,360
"kenitra, morocco",34.26,-6.585,2024-09-01T05:00:00,5.4,20
"kenitra, morocco",34.26,-6.585,2024-09-01T06:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-01T07:00:00,3.4,262
"kenitra, morocco",34.26,-6.585,2024-09-01T08:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-01T09:00:00,7.6,330
"kenitra, morocco",34.26,-6.585,2024-09-01T10:00:00,9.4,310
"kenitra, morocco",34.26,-6.585,2024-09-01T11:00:00,7.6,320
"kenitra, morocco",34.26,-6.585,2024-09-01T12:00:00,9.4,330
"kenitra, morocco",34.26,-6.585,2024-09-01T13:00:00,12.9,311
"kenitra, morocco",34.26,-6.585,2024-09-01T14:00:00,13,330
"kenitra, morocco",34.26,-6.585,2024-09-01T15:00:00,13,330
"kenitra, morocco",34.26,-6.585,2024-09-01T16:00:00,13.9,320
"kenitra, morocco",34.26,-6.585,2024-09-01T17:00:00,13,330
"kenitra, morocco",34.26,-6.585,2024-09-01T18:00:00,13,340
"kenitra, morocco",34.26,-6.585,2024-09-01T19:00:00,12.8,322
"kenitra, morocco",34.26,-6.585,2024-09-01T20:00:00,9.4,10
"kenitra, morocco",34.26,-6.585,2024-09-01T21:00:00,5.4,320
"kenitra, morocco",34.26,-6.585,2024-09-01T22:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-01T23:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T00:00:00,5.4,330
"kenitra, morocco",34.26,-6.585,2024-09-02T01:00:00,5.1,233
"kenitra, morocco",34.26,-6.585,2024-09-02T02:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T03:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T04:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T05:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T06:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T07:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T08:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T09:00:00,0,0
"kenitra, morocco",34.26,-6.585,2024-09-02T10:00:00,2.5,20
"kenitra, morocco",34.26,-6.585,2024-09-02T11:00:00,11.2,340
"kenitra, morocco",34.26,-6.585,2024-09-02T12:00:00,13,360
"kenitra, morocco",34.26,-6.585,2024-09-02T13:00:00,14.7,331
